1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
321,2,34,1281,2.037987439,1.71,1.48,3,1030,537,2,1,2,2,2,2.758433269,18,2,1,3,3,1.231706366,0,0,3,3,4,4,3.94,Europe,Montenegro,podgorica-montenegro,0.089918256
324,2,19,3477,3,0.53,1.29,2,1312,434,3,2,3,1,2,3,13,1,1,3,3,1,0,0,4,3,4,4,4.15,Europe,Croatia,zadar-croatia,0.049046322
583,2,22,1434,2,2.28,3.36,1,1651,1021,3,2,3,2,3,4,42,3,2,3,3,2,0,1,3,3,4,4,4.25,Europe,France,bordeaux-france,0.057220708
455,2,14,1373,2,0.44,1.02,3,880,514,2,1,3,2,1,1,17,1,1,2,3,2,0,0,3,3,3,2,4.2,Asia,Vietnam,da-nang-vietnam,0.035422343
187,2,25,1159,1.668140306,0.49,1.3,3,648,315,1,1,3,2,2,1,8,1,2,1,3,1,1,0,2,3,4,4,4.33,Europe,Turkey,alanya-turkey,0.065395095
679,2,27,1190,3,1.95,1.75,2,1460,914,3,3,2,3,3,4,46,3,2,3,3,2,0,1,4,3,4,4,3.83,Europe,Spain,seville-spain,0.070844687
525,2,50,1312,3,1.46,2.63,3,1301,812,3,3,3,3,3,4,32,3,3,3,3,3,0,1,4,3,4,4,3.71,Europe,Spain,las-palmas-canary-islands-spain,0.133514986
492,2,23,1312,1,0.87,2.1,2,1257,762,2,1,3,3,2,3,10,1.625486387,2,2,3,1,1,0,2,3,3,2,3.85,Africa,Morocco,rabat-morocco,0.059945504
2320,2,7,2410,1,3.77,5.48,1,3281,2262,3,3,4,3,4,4,41,3,2,4,3,2,0,1,4,3,4,4,3.84,Europe,Switzerland,geneva-switzerland,0.016348774
477,2,15,1159,1,2.28,3.12,2,1282,835,4,3,3,2,3,3,30,4,2,4,3,2,0,1,4,3,4,4,4.22,Europe,Germany,leipzig-germany,0.038147139
534,3,65,641,3,0.51,4.19,3,971,872,2,1,2,1,2,1,5,2,2,2,2,1,0,0,3,2,3,1,3.55,Asia,China,dongguan-china,0.174386921
2550,2,12,2898,2,1.9,3.58,1,3397,2613,4,2,4,1,3,3,28,4,2,3,3,3,0,1,3,4,4,4,4.18,North America,United States,san-jose-ca-united-states,0.029972752
314,3,40,1068,1,1.58,3.85,2,1344,810,3,1,3,4,2,4,9,2,3,3,3,2,0,1,4,3,4,4,4.31,Europe,Greece,athens-greece,0.10626703
269,2,14,2105,1,1.74,3.43,1,1626,708,2,1,2,3,2,4,11,1,3,3,3,2,0,1,3,3,4,2,3.87,Europe,Greece,rhodes-greece,0.035422343
211,2,2,1708,3,0.52,1.51,3,768,344,2,1,2,2,3,1,18,1,2,1,3,2,0,0,2,3,1,1,3.63,Asia,Thailand,hua-hin-thailand,0.002724796
442,2,18,1281,3,1.02,2.11,3,1067,662,2,1,3,3,2,1,26,1,2,1,3,2,0,0,1,3,4,4,4.36,Europe,Russia,saint-petersburg-russia,0.046321526
683,3,33,1708,3,0.71,3.03,2,1509,972,2,1,2,3,2,1,20,1,4,1,3,2,0,0,2,4,4,4,4.49,Europe,Russia,moscow-russia,0.08719346
323,2,54,1007,3,0.49,1.34,3,695,419,1.85257417,1,3,3,2,3,6,2,2,1,3,2,0,0,2,3,4,4,3.86,Asia,Philippines,cebu-philippines,0.144414169
742,2,50,2227,1,0.42,1.06,3,1343,744,2,1,3,4,2,3,10,2,3,2,3,2,1,0,2,3,3,4,4.16,Africa,Morocco,marrakesh-morocco,0.133514986
1221,2,13,1373,3,2.64,2.97,1,2206,1542,3,2,4,2,3,2,20,4,2,3,3,4,0,1,3,4,4,4,4.42,Europe,United Kingdom,newcastle-upon-tyne-united-kingdom,0.032697548
838,2,21,3325,3,1.95,4.32,1,2287,1273,3,3,3,4,3,4,31,4,3,3,3,2,0,1,4,3,4,4,4.42,Europe,Spain,palma-mallorca-spain,0.054495913
292,2,19,2410,3,1.93,1.58,1,1571,586,3,3,3,3,3,4,43,3,2,3,3,3,0,1,4,3,4,1,4.2,Europe,Spain,javea-spain,0.049046322
192,2,40,1403,1,0.61,1.3,3,622,272,1,1,3,3,2,3,4,1,1,2,3,3,1,0,2,3,3,4,4.04,Africa,Morocco,fes-morocco,0.10626703
264,2,50,1312,1,0.5,0.9,3,710,349,2,1,4,2,2,3,6,2,1,2,3,2,1,0,3,3,3,1,4.53,Africa,Morocco,taghazout-morocco,0.133514986
934,2,23,2288,1,2.14,1.39,1,2127,1207,2,2,3,3,2,4,14,1,2,3,3,2,0,1,3,3,4,4,3.62,Europe,Italy,naples-italy,0.059945504
144,2,110,610,1,0.59,1.49,3,541,313,2,1,2,2,1,1,8,1,1,1,2,1,0,0,2,2,3,4,3.48,Asia,India,chandigarh-india,0.297002725
1170,2,20,2623,1,2.73,3.61,1,2509,1565,4,4,4,3,4,4,48,4,2,4,3,3,0,1,4,4,4,4,4.28,Europe,Netherlands,utrecht-netherlands,0.051771117
1005.151582,2,8,3843,2,2.06,4.52,1,3776,2881,3,2,3,2,3,3,45,4,1,3,3,3,0,1,3,4,4,2,4.22,North America,United States,palo-alto-ca-united-states,0.019073569
896,3,95,1159,2,0.94,2.02,2,1457,1057,2.166797576,1,3,4,3,1,15,3,4,2,3,3,0,0,1,2,1,4,3.47,Latin America,Brazil,rio-de-janeiro-brazil,0.25613079
392,2,106,1098,3,0.46,1,3,759,451,3,1,3,2,2,1,13,2,2,2,2,2,0,0,3,3,3,4,4.22,Asia,China,hangzhou-china,0.286103542
211,2,19,763,1,0.7,1.63,3,615,363,2,1,4,2,3,2,11,2,2,2,3,1.950083469,0,0,2,3,4,4,3.11,Latin America,Mexico,oaxaca-mexico,0.049046322
589,2,28,3691,2,1.41,3.55,2,1889,922,3,2,2,4,2,4,17,2,3,3,3,3,0,1,4,3,4,4,3.03,Asia,Japan,kyoto-japan,0.073569482
245,2,49,641,2,0.77,0.86,3,638,357,2,1,3,2,3,1,11,2,2,2,3,3,0,0,1,3,1,4,3.44,Latin America,Brazil,belo-horizonte-brazil,0.130790191
325,2,37,1190,3,1.27,1.46,3,864,480,3,2,3,3,2,2.362678376,24,1,4,2,3,2,1,0,3,3,4,4,4.59,Europe,Serbia,belgrade-serbia,0.098092643
1525,2,132,1800,2,2.27,4.54,1,2539,1924,1,1,3,4,3,1,8,1,2,3,2,2,1,0,4,2,4,4,4.02,Middle East,United Arab Emirates,abu-dhabi-united-arab-emirates,0.356948229
1010,3,41,1617,2.020190441,0.72,2.47,2,1578,1132,3,1,3,4,2,2,2,2,4,1,3,2.149762261,1,0,2,2,3,4,3.69,Middle East,Lebanon,beirut-lebanon,0.108991826
845,2,113,1861,2.676172274,0.46,3.27,2,1488,1041,3,1,4,3,3,3,8,1,3,2,3,2.09138539,1,0,3,3,4,4,3.98,Middle East,Bahrain,manama-bahrain,0.305177112
129,2,70,1007,1,0.16,0.29,3,416,433.3306218,1,1,2,1,1,1,4,1,2,1,3,1,0,0,2,2,3,4,2.93,Asia,India,kochi-india,0.188010899
225,2,118,946,1,0.32,0.93,3,553,309,1,1,2,2,1,1,14,1,2,1,2,1,0,0,2,2,3,4,3.78,Asia,India,bangalore-india,0.31880109
1813,2,168,1983,3,0.96,3.76,2,2532,2071,1,1,3,3,3,3,12,1,2,3,2,1.527969019,1,0,3,2,4,2,3.74,Middle East,Qatar,doha-qatar,0.455040872
1380,2,17,2562,2,1.74,3.34,1,2670,1906,3,2,3,3,3,3,56,3,3,3,3,3,0,1,3,4,4,4,4.33,North America,United States,austin-tx-united-states,0.04359673
415,2,55,1159,3,0.59,1.7,3,863,540,1,1,3,2,2,3,4,2,3,1,3,2,0,0,2,2,4,4,3.15,Asia,Philippines,manila-philippines,0.147138965
366,2,20,1190,1,0.58,1.75,3,837,509,3,1,3,3,2,2,15,2,2,2,3,3,1,0,3,3,3,2,4.8,Asia,Indonesia,canggu-bali-indonesia,0.051771117
979,3,46,1464,3,1.2,4.03,1,2172.9744,1251.646785,3,2,3,3,2,3,14,2,4,3,3,2,0,1,4,3,4,4,4.01,Asia,South Korea,seoul-south-korea,0.122615804
1160,2,19,1922,2,1.45,3.92,1,2152,1560,3,2,3,3,3,3,33,3,2,3,3,3,0,1,2,3,4,4,4.08,North America,United States,atlanta-ga-united-states,0.049046322
833,2,29,2288,2,2.28,3.5,1,2052,1237,3,2,3,4,3,4,18,4,2,3,3,2,0,1,3,3,4,4,4.33,Europe,France,nice-france,0.076294278
1226.150159,3,15,4880,1.713967151,3.75,4.37,1,2051.398965,1386.659175,3,2,3,4,3.531460746,4,17,2,3,2,4,2,0,1,4,4,4,4,3.98,Europe,Monaco,monaco-monaco,0.038147139
854,2,22,5246,2,2.7,2.61,1,2913,1288,3,2,3,4,3,4,30,2,3,3,3,3,0,1,3,4,4,1,4.4,Europe,France,cannes-france,0.057220708
2556,2,27,3752,2,1.99,3.98,1,3753,2717,3,2,3,2,3,3,23,2,1,3,3,3,0,1,3,3,4,4,3.99,North America,United States,santa-monica-ca-united-states,0.070844687
880,2,23,2013,2,1.64,3.37,2,1840,1149,4,2,3,3,3,3,18,3,3,3,3,3,0,1,3,3,4,4,4.27,North America,United States,buffalo-ny-united-states,0.059945504
585,2,48,1464,3,1.14,4.79,3,1330,963,3,2,3,3,2,3,34,1,2,3,3,2,0,1,4,3,4,1,4.51,Asia,South Korea,busan-south-korea,0.128065395
151,2,15,2013,3,0.75,2.26,3,828,340,2,1,3,2,3,1,21,2,2,1,3,1,0,0,3,3,1,1,2.98,Asia,Thailand,ko-phi-phi-thailand,0.038147139
1140,2,14,3233,2,1.92,3.65,1,2520,1527,3,2,4,3,3,3,21,3,2,3,3,3,0,1,3,3,4,4,4.25,North America,United States,minneapolis-mn-united-states,0.035422343
940,2,15,2318,2,1.56,3.62,1,1739,967,3,2,3,1,3,3,34,2,1,3,3,3,0,1,3,4,4,2,4.28,North America,United States,omaha-ne-united-states,0.038147139
119,2,138,763,1,0.45,1.15,3,446,248,1,1,3,2,1,1,3,1,2,1,2,1,1,0,3,2,3,4,3.8,Asia,India,varanasi-india,0.373297003
137,2,88,702,1,0.37,0.95,3,439,247,2,1,4,4,1,1,6,2,2,1,2,1.396759593,0,0,3,2,3,4,4.14,Asia,Nepal,kathmandu-nepal,0.237057221
1110,2,17,1739,2,1.54,3.5,2,1947,1345,4,2,3,2,3,3,34,2,2,3,3,2,0,1,3,4,4,4,4.43,North America,United States,raleigh-nc-united-states,0.04359673
792,2,13,1617,3,2.21,2.97,2,1818,1143,3,2,4,3,3,2,19,2,3,3,3,4,0,1,3,3,4,4,4.3,Europe,United Kingdom,leicester-united-kingdom,0.032697548
272,2,26,702,1,0.59,1.98,3,637,465,2,1,3,2,3,3,9,1,1,2,3,2,1,0,3,3,1,2,4.06,Asia,Malaysia,kuching-malaysia,0.068119891
593,2,13,1617,1,2.41,3.4,2,1555,959,4,3,3,3,3,3,28,4,2,4,3,3,0,1,4,3,4,4,3.64,Europe,Germany,nuremberg-germany,0.032697548
774,3,18,1891,2,2.62,4,1,2078,1259,4,3,3,3,3,3,46,3,3,4,3,2,0,1,3,3,4,4,4.27,Europe,Belgium,antwerp-belgium,0.046321526
642,2,26,2105,1,2.32,3.35,1,1894,1047,4,3,3,2,3,3,50,4,2,4,3,3,0,1,4,3,4,4,3.69,Europe,Germany,dusseldorf-germany,0.068119891
2260,2,16,2623,2,1.72,3.5,1,3083,2257,3,2,2,2,3,3,21,2,3,3,3,3,0,1,2,4,4,4,4.17,North America,United States,oakland-ca-united-states,0.040871935
376,2,150,946,3,0.41,0.75,3,678,420,3,1,2,2,2,1,4,2,2,2,2,1,0,0,3,2,3,4,4.14,Asia,China,chengdu-china,0.40599455
890,2,18,1495,2,1.69,3.54,1,1781,1237,3,2,3,2,3,3,21,2,2,3,3,3,0,1,2,3,4,4,3.92,North America,United States,detroit-mi-united-states,0.046321526
744,2,15,1678,2,1.62,3.16,2,1725,1091,4,3,4,3,4,3,38,4,1,4,3,4,0,1,3,4,4,4,4.45,North America,Canada,kitchener-canada,0.038147139
400,2,137,4880,3,0.41,0.75,2,1687,453,3,1,3,3,2,1,8,2,3,2,2,1,0,0,3,2,3,1,3.42,Asia,China,nanjing-china,0.370572207
601,2,72,1190,3,0.43,0.95,3,1030,651,2,1,2,3,2,1,8,1,2,2,3,1,0,0,3,3,3,4,3.97,Asia,China,guangzhou-china,0.19346049
1299,2,7,2196,2,1.82,4,1,2377,1637,3,2,4,3,3,3,13,3,1,3,3,3,0,1,3,3,4,4,4.25,North America,United States,west-palm-beach-fl-united-states,0.016348774
1100,3,18,2044,2,1.92,4.02,2,2033,1359,3,2,3,2,3,3,41,3,2,3,3,3,0,1,3,3,4,4,4.36,North America,United States,dallas-tx-united-states,0.046321526
263,3,86,793,1,0.66,1.91,3,735,439,2,1,4,2,3,2,19,1,2,2,3,1.935805227,0,0,1,3,4,4,3.75,Latin America,Mexico,monterrey-mexico,0.231607629
272,3,14,1403,1,0.56,0.7,3,784,358,2,1,2,4,3,2,14,2,1,2,3,1.515224083,0,0,1,3,4,4,3.86,Latin America,Mexico,tijuana-mexico,0.035422343
370,2,88,885,1.780427302,0.65,2.46,3,776,553,1,2,3,3,2,1,10,1,2,2,2,2,0,0,2,2,4,4,3.93,Latin America,Peru,lima-peru,0.237057221
948,2,7,702,2.542355422,1.17,1.68,3,1166,1031,1,2,1,1,2,1,17,1,1,2,3,2,0,0,2,3,4,4,3.37,Latin America,Peru,cusco-peru,0.016348774
248,2,91,885,1.761307277,0.64,1.54,3,690,392,2,2,3,1,2,2,3,2,1,1,3,1.721920793,0,0,1,2,3,2,2.98,Latin America,Nicaragua,managua-nicaragua,0.245231608
334,2,50,1312,2.154127199,0.44,1.33,3,784,435,1,1,4,4,3,2,3,1,2,1,3,2,0,0,1,2,4,4,4.31,Latin America,Guatemala,antigua-guatemala,0.133514986
990,2,18,1525,3,2.87,3.31,1,2111,1393,4,2,4,4,3,2,30,4,3,3,3,4,0,1,4,4,4,4,4.17,Europe,United Kingdom,bristol-united-kingdom,0.046321526
218,2,12,793,2,0.44,1.31,3,555,332,2,1,4,2,1,1,15,1,1,2,3,1,0,0,3,3,3,1,4.35,Asia,Vietnam,da-lat-vietnam,0.029972752
660,2,21,1373,3,2.21,2.97,2,1664,1031,4,2,3,2,3,2,28,3,3,3,3,4,0,1,3,3,4,4,4.21,Europe,United Kingdom,nottingham-united-kingdom,0.054495913
556,2,24,1495,3,1.3,1.51,3,1090,674,3,2,3,2,2,2,42,1,2,3,3,2,0,0,3,3,4,1,4.41,Europe,Romania,brasov-romania,0.0626703
377,2,31,1068,3,1.04,1.99,3,961,581,2,2,3,3,2,2,85,1,3,3,3,1,0,0,3,3,4,4,4.35,Europe,Romania,bucharest-romania,0.081743869
445,2,26,1922,1,2.14,1.58,2,1502,719,2,2,2,2,2,4,9,1,2,3,3,2,1,1,3,3,4,1,3.75,Europe,Italy,palermo-italy,0.068119891
210,2,49,1251,1,0.23,0.58,3,571,254,1,1,1,1,2,2,6,1,2,2,3,1,1,0,3,2,3,4,3.64,Asia,Indonesia,kuta-bali-indonesia,0.130790191
123,2,47,1220,1,0.52,1.82,3,554,269,1,1,1,1,2,2,10,1,1,2,3,1,1,0,3,3,3,4,4.21,Asia,Indonesia,denpasar-bali-indonesia,0.125340599
421,2,43,1190,1,0.31,0.7,3,724,441,1,1,3,3,2,2,3,1,3,2,3,1,1,0,3,2,3,1,3.73,Asia,Indonesia,seminyak-bali-indonesia,0.114441417
445,2,16,1556,3,1.04,2.08,3,1158,666,4,2,3,3,2,3,108,2,2,3,3,2,0,1,4,3,4,4,4.52,Asia,South Korea,jeju-island-south-korea,0.040871935
750,2,108,1952,3,0.75,2.96,2,1458,972,2,1,1,2,2,1,7,1,1,2,2,1,0,0,3,3,3,4,3.76,Asia,China,beijing-china,0.291553134
867,2,19,2318,3,1.95,1.47,1,1980,1105,3,3,3,2,3,4,42,3,2,3,3,2,0,1,3,3,4,4,4.06,Europe,Spain,bilbao-spain,0.049046322
884,2,12,2654,3,0,0.7,2,1777,932,2,3,2,2,2,4,13,1,2,4,3,2,1,1,4,3,4,4,3.51,Europe,Portugal,portimao-portugal,0.029972752
604,3,19,1769,3,1.17,0.9,2,1279,719,3,3,3,2,2,4,38,3,3,4,3,3,0,1,3,3,4,4,4.48,Europe,Portugal,porto-portugal,0.049046322
478,2,7,1434,2,0,2.33,2,787,548,2,2,1,2,3,4,30,2,2,3,3,1.845325928,0,1,3,3,4,1,3.76,Europe,France,chamonix-france,0.016348774
1321,2,11,1037,1.901144601,1.87,3.58,2,2089,1637,3,2,3,2,2.346778295,2.550356463,28,1,2,2,3,2,0,0,2,3,4,4,3.58,Europe,Gibraltar,gibraltar-gibraltar,0.027247956
356,2,12,3477,2,1.9,3.3,1,1930,774,3,3,2,3,2,3,9,2,3,2,3,2,0,0,3,3,4,2,3.94,Europe,Cyprus,paphos-cyprus,0.029972752
554,3,20,824,2,1.22,1.76,3,1061,734,2.350854541,1,4,4,3,1,13,3,4,2,3,3,0,0,1,3,1,4,3.99,Latin America,Brazil,sao-paulo-brazil,0.051771117
1326,3,15,2196,2,3.02,3.78,1,2588,1769,3,1,3,3,4,3,0,4,3,2,3,3,1,1,3,3,4,4,4.32,Middle East,Israel,tel-aviv-israel,0.038147139
91,2,97,702,1,0.3,0.89,3,428,202,2,1,3,3,1,1,6,1,1,1,2,1,0,0,2,2,3,4,3.09,Asia,India,surat-india,0.261580381
190,2,92,976,1,0.4,1.08,3,570,295,2,1,3,2,1,1,7,1,2,1,3,1,0,0,2,3,3,4,3.66,Asia,India,pune-india,0.247956403
95,2,51,763,1,0,0.15,4,548.2789202,535.9923436,1,1,2,1,1,1,5,1,1,1,3,1,1,0,2,2,3,4,3.5,Asia,India,varkala-india,0.136239782
174,2,135,1007,1,0.3,0.99,3,544,263,1,1,3,2,1,1,5,1,1,1,2,1,0,0,2,2,3,4,2.97,Asia,India,kolkata-india,0.365122616
146,2,156,763,1,0.55,1.11,3,522,272,1,1,3,1,1,1,4,1,1,1,2,2,1,0,2,1,3,4,3.14,Asia,India,kota-india,0.422343324
493.6556662,2,317,1281,1,0.29,0.96,3,517,180,1,1,2,1,1,1,5,1,1,1,1,2,1,0,2,1,3,4,3.24,Asia,India,allahabad-india,0.861035422
922,2,24,4514,3,2.53,2.33,1,2755,1225,3,3,3,4,3,4,46,3,4,3,3,2,0,1,4,3,4,4,4.24,Europe,Spain,ibiza-spain,0.0626703
1050,2,12,1830,2,1.66,3.74,1,1886,1274,3,2,4,2,3,3,23,3,2,3,3,3,0,1,3,3,4,4,4.3,North America,United States,salt-lake-city-ut-united-states,0.029972752
268,2,21,671,1,0.43,1.32,3,542,400,1,1,2,2,2,2,5,1,2,2,3,1,1,0,3,3,3,4,4.27,Asia,Indonesia,yogyakarta-indonesia,0.054495913
394,2,20,4697,3,2.09,1.63,1,2086,636,3,2,3,2,2,3,13,2,2,3,3,2,0,0,3,3,4,4,3.85,Europe,Croatia,split-croatia,0.051771117
479,2,25,1373,2,1.01,2.03,3,1009,630,3,2,3,2,2.782575972,3,29,2,2,3,3,1,0,1,4,4,4,4,3.93,Europe,Czechia,brno-czechia,0.065395095
503,3,68,793,1,0.57,2.02,3,835,643,2,1,2,2,2,2,15,1,2,2,3,1,1,0,3,3,3,4,3.98,Asia,Indonesia,jakarta-indonesia,0.182561308
524,3,20,1129,2,0.59,0.99,3,944,592,2,1,3,3,1,1,33,1,2,1,3,2,0,0,2,3,4,4,4.61,Europe,Ukraine,kiev-ukraine,0.051771117
478,2,25,1495,1.974318854,2.19,1.61,2,1287,709,2,2,4,3,2,3,41,3,3,3,3,2.635852961,0,1,3,3,4,4,4.25,Europe,Slovenia,ljubljana-slovenia,0.065395095
350,2,30,2203.99486,1,2.25,3.88,1,1577,867,2,1,2,3,2,4,14,1,3,3,3,2,0,1,3,2,4,1,3.09,Europe,Greece,santorini-greece,0.079019074
337,2,22,885,1,1.75,3.94,3,1092,746,3,1,3,3,2,4,9,3,2,3,3,2,0,1,3,3,4,4,4.07,Europe,Greece,thessaloniki-greece,0.057220708
810,2,20,2257,1,2.36,1.35,1,2027,1117,3,2,4,4,2,4,21,2,1,3,3,2,0,1,3,3,4,4,3.88,Europe,Italy,florence-italy,0.051771117
506,2,10,1007,3,1.76,2.71,2,1282,794,3,3,2,2,3,4,18,2,1,3,3,2,0,1,3,3,4,4,3.73,Europe,Spain,granada-spain,0.024523161
758,2,8,2593,2,1.74,3.4,1,1984,1124,4,3,4,4,4,3,38,3,2,4,3,4,0,1,3,3,4,4,4.34,North America,Canada,kelowna-canada,0.019073569
852,2,13,2166,2,1.57,3.06,2,1841,1148,4,3,4,1,4,3,38,4,2,4,3,4,0,1,3,4,4,4,4.26,North America,Canada,victoria-canada,0.032697548
680,2,22,1891,2,2.68,2.73,1,1882,1077,2,2,2,2,3,4,74,2,2,3,3,2,0,1,3,3,4,1,3.95,Europe,France,avignon-france,0.057220708
385,2,55,549,1,0.29,1.13,3,570,447,2,1,2,2,2,2,7,1,1,2,3,1,0,0,3,2,3,4,3.91,Asia,Indonesia,surabaya-indonesia,0.147138965
141,2,59,671,1,0.31,1.1,3,399,235,2,1,3,2,2,2,9,1,2,2,3,2,0,0,3,3,3,4,3.96,Asia,Indonesia,bandung-indonesia,0.158038147
930,2,12,2471,3,1.97,3.5,1,2057,1288,4,3,4,4,4,3,42,3,2,4,3,3,0,1,3,3,4,4,4.23,Europe,Sweden,gothenburg-sweden,0.029972752
722,2,50,2166,1.638495083,0.84,2.82,2,1526,907,2,2,3,3,3,3,16,2,3,2,3,2,0,0,1,3,4,1,3.82,Latin America,Trinidad and Tobago,port-of-spain-trinidad-and-tobago,0.133514986
867,2,21,1495,1,3.12,3.11,1,1848,1219,2,3,2,2,3,4,41,2,2,4,3,2,0,1,4,3,4,4,3.82,Europe,Austria,innsbruck-austria,0.054495913
261,2,14,793,2,0.44,0.44,3,452,279,2,1,3,3,1,1,17,2,2,2,3,2,0,0,3,3,3,2,4.2,Asia,Vietnam,nha-trang-vietnam,0.035422343
1376,2,20,2257,1,3.99,4.22,1,2641,1796,4,3,3,2,4,4,41,2,2,4,3,2,0,1,4,3,4,4,4.1,Europe,Switzerland,basel-switzerland,0.051771117
1355,2,20,2105,1,3.52,5.45,1,2856,1958,3,3,3,2,4,4,39,3,2,4,3,2,0,1,4,3,4,4,3.58,Europe,Switzerland,lausanne-switzerland,0.051771117
896,2,14,2349,2,1.64,2.8,1,1980,1203,4,3,4,2,4,3,20,3,2,4,3,3,0,1,4,4,4,4,4.21,Oceania,Australia,hobart-australia,0.035422343
408,2,8,1464,1,1.98,1.69,2,1358,688,2,2,2,2,2,4,28,1,2,3,3,2,1,1,3,3,4,1,3.87,Europe,Italy,palermo-sicily-italy,0.019073569
451,2,33,641,2,1.08,1.45,3,834,591,2.030051403,1,3,4,3,1,12,2,1,2,3,3,0,0,1,2,1,4,3.59,Latin America,Brazil,recife-brazil,0.08719346
2075,2,22,3538,2,1.88,3.99,1,3219,2199,3,2,3,4,3,3,20,3,1,3,3,2,0,1,3,3,4,1,4.31,North America,United States,key-west-fl-united-states,0.057220708
1180,3,18,1769,2,2.11,4.43,1,2338,1667,2,2,2,2,3,3,33,1,2,3,3,1,0,1,2,3,4,4,4.21,North America,United States,baltimore-md-united-states,0.046321526
792,2,14,1617,3,1.98,2.97,2,1758,1126,3,2,4,3,3,2,20,2,3,3,3,4,0,1,4,4,4,4,4.13,Europe,United Kingdom,liverpool-united-kingdom,0.035422343
607,2,19,2196,3,2.64,2.97,1,1952,1020,3,2,4,2,3,2,15,2,2,3,3,4,0,1,3,3,4,4,4.4,Europe,United Kingdom,cardiff-united-kingdom,0.049046322
110,2,10,854,1,1.1,1.19,3,563,270,2,2,4,3,3,2,9,3,2,3,3,3,0,0,2,3,4,4,3.81,Latin America,Argentina,cordoba-argentina,0.024523161
186,2,14,1068,1,0.99,1.34,3,803,362,1,2,2,1,3,2,6,2,2,3,3,2,0,0,2,3,4,1,3.68,Latin America,Argentina,mendoza-argentina,0.035422343
960,3,14,2410,2,1.67,3.54,1,2301,1478,3,2,4,3,3,3,37,3,4,3,3,3,0,1,2,3,4,4,3.7,North America,United States,new-orleans-la-united-states,0.035422343
145,2,82,702,1.998339982,0.36,0.72,3,432,223,1,1,3,2,2,1,5,1,2,1,2,3,0,0,1,2,3,1,3.37,Latin America,Bolivia,la-paz-bolivia,0.220708447
270,2,60,854,1.461995858,0.61,1.44,3,621,398,1,1,4,2,2,1,5,2,2,1,3,3,0,0,2,2,3,4,3.63,Latin America,Bolivia,cochabamba-bolivia,0.160762943
443,2,26,915,2.235342629,1.43,2.97,2,1237,786,3,3,3,2,3,2,19,3,2,3,3,3,0,0,2,3,3,4,4.17,Latin America,Uruguay,montevideo-uruguay,0.068119891
335,2,34,1037,1,0.78,2.09,3,838,542,2,1,2.19353457,2,2,3,7,1,1.976064505,2,3,1,1,0,2,2,1,2,3.64,Latin America,Paraguay,asuncion-paraguay,0.089918256
97,2,6,1348.015711,2,0.87,1.68,3,510,305,1,1,2,2,3,1,21,3,2,2,3,2,1,0,1,3,1,4,3.75,Latin America,Brazil,campo-grande-brazil,0.013623978
323,2,17,793,2,0.91,1.72,3,785,500,2,1,4,4,3,1,7,3,2,2,3,3,0,0,1,3,1,4,2.83,Latin America,Brazil,florianopolis-brazil,0.04359673
1103,2,16,2257,3,2.64,2.97,1,2355,1456,3.680678007,2,3,2,3,2,24,3,3,3,3,4,0,1,3,4,4,4,4.19,Europe,United Kingdom,brighton-united-kingdom,0.040871935
900,2,19,1434,3,3.3,3.24,1,2156,1364,4,2,3,3,3,2,34,4,2,3,3,4,0,1,4,3,4,4,3.93,Europe,United Kingdom,birmingham-united-kingdom,0.049046322
465,2,23,5033,3,2.41,2.12,1,2356,796,1,2,2,2,2,3,15,1,1,3,3,2,1,0,4,3,4,4,3.71,Europe,Croatia,dubrovnik-croatia,0.059945504
843,2,177,1129,1,0.48,2.1,3,1214,938,1,2,2,1,1,3,4,1,1,1,2,1,1,0,2,1,1,2,3.09,Africa,Tanzania,dar-es-salaam-tanzania,0.479564033
904,2,28,3081,1,2.74,5.4,1,2543,1444,4,2,4,4,2,4,18,3,3,3,3,2,0,1,3,3,4,2,4.06,Europe,Italy,venice-italy,0.073569482
888,2,82,1586,2,0.68,3.15,3,1573,1153,2,1,2,3,2.19062113,4,6,1,1,3,2,1.635967368,1,0,3,2,1,4,3.1,Middle East,Oman,muscat-oman,0.220708447
362,2,48,1891,1,0.88,2.64,2,1148,627,2,3,3,3,4,3,8,3,1,3,3,3,1,0,2,2,4,2,3.3,Latin America,Costa Rica,puerto-viejo-costa-rica,0.128065395
396,2,51.50766819,1190,1,0.69,1.2,3,717,477,2,2,2,3,3,2,6,2,1,3,3,2,1,0,2,2,4,4,2.68,Latin America,Argentina,ushuaia-argentina,0.137623074
1310,2,13,2349,2,1.66,4.1,1,2615,1863,3,2,3,3,3,3,42,3,2,3,4,3,0,1,3,4,4,4,4.38,North America,United States,denver-co-united-states,0.032697548
1110,2,18,2959,2,1.71,3.33,1,2363,1479,3,2,3,3,3,3,47,2,3,3,3,3,0,1,3,3,4,4,4.18,North America,United States,nashville-tn-united-states,0.046321526
